x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.56404312885,0.311813342391,0.373581172958
4.0,-6.43081725723,0.405881324584,0.41074787379
8.0,-5.99000346924,0.09514483671,0.0862721137432
12.0,-5.73263691086,0.03210577295,0.029319121238
16.0,-5.8922440115,0.03440700467,0.03261520924
20.0,-6.03701367821,0.0438047317324,0.0396110724088
24.0,-6.22095049704,0.0595958937932,0.0530098640608
28.0,-6.27021302387,0.107357791955,0.0858768488094
32.0,-6.25271840189,0.18184993001,0.13605709596
36.0,-6.11347948526,0.16491312025,0.202466847041
40.0,-6.10414157999,0.148152378385,0.178194495995
44.0,-6.14777590807,0.16000772213,0.18680017566
48.0,-6.1567032802,0.16588750454,0.175636616549
52.0,-6.21718009703,0.183453145756,0.2021317736
56.0,-6.32765177587,0.210732248828,0.242342790662
60.0,-6.39773909008,0.24094884121,0.282561471821
64.0,-6.53259660619,0.274909801654,0.371501238605
68.0,-6.66040425733,0.324502364957,0.465088404973
72.0,-7.51594682437,0.697457764815,0.544910292508
76.0,-7.57884369961,0.759871872957,0.57261708607
80.0,-7.6547324716,0.744433833975,0.567693053457
84.0,-7.655598134,0.76547567577,0.58924922826
88.0,-7.73543427053,0.838343980885,0.635674051506
92.0,-7.82839265495,0.969431429177,0.735944732955
96.0,-8.36835911934,1.84339530107,1.12547099125
100.0,-8.319930432,1.87454487076,1.15436888774
104.0,-8.34012161662,1.87527290896,1.14511749927
108.0,-8.33927513596,1.84449386373,1.13871864919
112.0,-8.35388047478,1.85413626477,1.1249230383
116.0,-8.32282123465,1.88111615696,1.15305240706
120.0,-8.33329287478,1.85728842065,1.14331561908
124.0,-8.30267030414,1.89049922922,1.16727203389
128.0,-8.33516768901,1.86072419584,1.14408074707
132.0,-8.30546816245,1.87370056644,1.16743954023
136.0,-8.31236857124,1.88458983023,1.15643489446
140.0,-8.27787511095,1.89949606358,1.18468708503
