Density,Plus_Unc,Minus_Unc
-8.0197721139,1.3706604561,1.3447265011
-5.8855685394,0.2314287021,0.2233456555
-5.2812376054,0.1064430192,0.1167950189
-5.2869290123,0.1163233812,0.1161907036
-5.3111846793,0.1225452177,0.1281057705
-5.2136391927,0.1216954455,0.1167195249
-5.2588595209,0.1260410486,0.1247705722
-5.2985380381,0.1398947145,0.1422127524
-5.3392536316,0.1640017722,0.1686588113
-5.3688253123,0.1844464346,0.2012644712
-5.4378197672,0.2265029602,0.2478066576
-5.4457740795,0.2634559951,0.2806156424
-5.1528610546,0.5294434463,0.4768684016
-5.1855025611,0.5644583691,0.5022825122
-5.2555194371,0.5814574149,0.5802576215
-5.2427203946,0.5827009688,0.5406441471
-5.6411778493,0.7712502917,2.0775103549
-8.1791603279,1.9033171855,1.24120112
-8.1965086845,1.9031568474,1.2279391581
-8.1887963897,1.9173749472,1.24317839
-8.2038626807,1.8889555905,1.2259147488
-8.184750062,1.9290698853,1.2441619761
-8.1890258701,1.9056363372,1.2345898874
-8.1724915316,1.9030491675,1.2421544942
-8.1704802537,1.9458706083,1.2473330917
-8.1657643428,1.9444823327,1.2574966248
-8.1669917443,1.9220357751,1.2551895772
-8.1754534042,1.9080015377,1.2465324327
-8.1454297367,1.9587833934,1.2724695759
-8.1479376603,1.9384132067,1.2664346538
-8.1933999099,1.9487091928,1.2452179621
-8.1644290597,1.9787674803,1.2579397106
-8.1537714588,1.9495060006,1.2540030053
-8.1401744687,1.9630682928,1.2729682077
-8.1571385367,1.9472529736,1.2563395532
