x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
419.2,2.49362326518E-05,0.000030426,5.45626550196E-06,0.00001948,3.0426084838E-05,3.5702014762,5.5765060437
422.4,0.000019641,2.99966340393E-05,5.35560847295E-06,1.42854279091E-05,2.9996696349E-05,2.6673771956,5.6010703217
425.6,2.14009423242E-05,2.9946595124E-05,5.25436972715E-06,1.6146572597E-05,2.99466552004E-05,3.0729799073,5.6994890089
428.8,0.000019454,3.0606089455E-05,5.1334348703E-06,1.43206012373E-05,3.06061455622E-05,2.7896723343,5.9622032759
432,2.10356967736E-05,2.99023893808E-05,4.99306018457E-06,1.6042636589E-05,2.99024437106E-05,3.2129868249,5.988913304
435.2,2.53274848885E-05,3.02215672821E-05,4.98781513145E-06,2.03396697571E-05,3.02216209252E-05,4.0778716173,6.0592688679
438.4,2.09619402186E-05,3.02487824047E-05,4.84915958175E-06,1.61127806369E-05,3.02488330613E-05,3.3227985933,6.23806906
441.6,1.55593266141E-05,3.03745533597E-05,0.000004684,1.08752798697E-05,3.03746004296E-05,2.3217701408,6.4847461652
444.8,1.99604683923E-05,3.03061030944E-05,4.55010747154E-06,1.54103609208E-05,3.03061476112E-05,3.3868125132,6.6606466827
448,1.92248830967E-05,2.98922668412E-05,4.45192889505E-06,0.000014773,2.98923100476E-05,3.3183266287,6.7145694611
451.2,2.05938318764E-05,2.99510835938E-05,4.40370568188E-06,1.61901261946E-05,2.99511257862E-05,3.676477804,6.8014754476
454.4,1.96192913389E-05,3.00938976068E-05,4.30845215539E-06,1.53108391835E-05,3.00939378021E-05,3.5536751091,6.9849784382
457.6,1.83397288903E-05,3.0107123317E-05,4.23208705664E-06,1.41076418337E-05,3.01071620829E-05,3.3334951869,7.1141241783
460.8,1.83218974322E-05,3.01221765209E-05,4.18583942625E-06,1.4136058006E-05,3.01222144253E-05,3.3771142575,7.1963216096
464,1.39695803972E-05,2.96553912546E-05,4.0381667414E-06,9.93141365577E-06,2.96554270869E-05,2.4593867197,7.3438383604
467.2,1.43759040296E-05,2.98621700815E-05,3.95044210919E-06,1.04254619204E-05,2.98622041365E-05,2.6390620675,7.5592656445
470.4,0.000017686,2.96377903495E-05,3.78939603398E-06,1.38966189055E-05,2.96378219217E-05,3.6672384678,7.821364211
473.6,1.61176303295E-05,2.93820608432E-05,3.82979107653E-06,1.22878392529E-05,2.93820933728E-05,3.2084881414,7.6720707882
