x_interp,Beta,Plus_Unc,Minus_Unc
0.0,1.48345389042,0.306188357481,0.349417010486
4.0,1.95007251714,0.35062724284,0.27934759713
8.0,2.10225325672,0.34032278982,0.274327635466
12.0,1.40120807804,0.285179961818,0.223818967709
16.0,0.904829723958,0.315311953812,0.166102556101
20.0,0.681140465335,0.101610012683,0.073562471162
24.0,1.29170253792,0.40391985004,0.377921417259
28.0,1.84550663209,0.313602242226,0.264456590453
32.0,1.90828948105,0.35169270698,0.274028415355
36.0,1.91359012553,0.357360118131,0.28472337497
40.0,1.91591760527,0.350707939497,0.277321490472
44.0,1.9149870984,0.33738481847,0.275294126904
48.0,1.90058759691,0.375420045375,0.297499631146
52.0,1.92508016132,0.347217593219,0.282870272295
56.0,1.91235996783,0.341917750691,0.272343082616
60.0,1.92051618853,0.33986165061,0.276103548676
64.0,1.92725192551,0.363477105401,0.281561254501
68.0,1.9157487738,0.340456560536,0.277497175909
72.0,1.92404637293,0.338873236527,0.27428053926
76.0,1.92785301125,0.340983165024,0.278024520943
80.0,1.9371747688,0.358623989982,0.277959905781
84.0,1.92618669315,0.337678966635,0.273737788681
88.0,1.96450731749,0.34780006627,0.27846681569
92.0,1.95598975245,0.347416273945,0.279302608931
96.0,1.9513944726,0.348823687495,0.279074069275
100.0,1.95214723951,0.352769794374,0.280746657568
104.0,1.9562964434,0.35238124313,0.2825195545
108.0,1.95574956784,0.351953862775,0.281464754705
112.0,1.95730354847,0.351255605695,0.282693130821
116.0,1.95438408501,0.350723322131,0.280350700586
120.0,1.95674360477,0.349507814267,0.282982591279
124.0,1.95042271528,0.350646486781,0.277661341555
128.0,1.95712220407,0.35078249471,0.2797435563
132.0,1.95639617564,0.34962548648,0.283148354118
136.0,1.95542082101,0.346794165265,0.27939274662
140.0,1.95497786625,0.351229052213,0.280281659335
