x_interp,Beta,Plus_Unc,Minus_Unc
0.0,1.55971415609,0.297004885667,0.338775206827
4.0,1.95794414393,0.347585853354,0.279815201355
8.0,2.06745723784,0.329905637325,0.256307428485
12.0,2.48502003673,0.227730561272,0.236281012235
16.0,1.37397357815,0.167949967928,0.15485008479
20.0,1.33778109193,0.12422212734,0.121852255394
24.0,2.11067882319,0.29242966425,0.231685655647
28.0,2.11983123338,0.30044622039,0.232577986618
32.0,2.09959689093,0.30106734139,0.23522070113
36.0,2.09125589526,0.303445940957,0.237007899975
40.0,2.07117288313,0.308484478078,0.237215724866
44.0,2.05574014318,0.320243253076,0.24117083628
48.0,2.08020255714,0.310358996448,0.245261255108
52.0,2.11768573311,0.330231496415,0.250236812483
56.0,2.09570762407,0.31218067764,0.244763927394
60.0,2.10548245111,0.331648992753,0.271006599539
64.0,2.11632576894,0.302347602998,0.241618088049
68.0,2.13320181154,0.307025208785,0.247921782027
72.0,2.13733877958,0.3235345828,0.253229834828
76.0,2.15003830306,0.294785800623,0.238199334712
80.0,2.15503799597,0.30054982689,0.242411866138
84.0,2.17180422034,0.296879476095,0.239799699635
88.0,2.15738564498,0.316409686091,0.257795051548
92.0,2.17774140051,0.302017332601,0.246056705705
96.0,2.16496081478,0.301377432609,0.24945166781
100.0,2.17820772999,0.296902056408,0.25628626787
104.0,2.18314791391,0.290092301552,0.24352309114
108.0,2.19766617153,0.292919182221,0.244941974505
112.0,2.19346876946,0.296460238485,0.249717870815
116.0,2.23490962816,0.28316298363,0.24355073555
120.0,2.21190432098,0.29244084918,0.251949556961
124.0,2.19016338804,0.300723544605,0.277543899515
128.0,2.18774270864,0.290428676531,0.250629335996
132.0,2.18035651266,0.301607488477,0.259178886504
136.0,2.2015982108,0.286976975073,0.246754496426
140.0,2.1696599285,0.307111592882,0.26399709913
