x_interp,Beta,Plus_Unc,Minus_Unc
0.0,1.6405049792,0.253184961058,0.366550972812
4.0,1.9470793199,0.34970462277,0.280463493349
8.0,0.678165920401,0.089772662193,0.0687973857264
12.0,0.57282157008,0.0305801462015,0.0182709158205
16.0,0.59690438652,0.0667447550505,0.032367697889
20.0,0.641019805072,0.0953969579998,0.057733450149
24.0,1.41838827179,0.475542476945,0.672620249706
28.0,1.54044333218,0.4137317179,0.745213628275
32.0,1.75693749308,0.329833727195,0.383275635765
36.0,1.96873198699,0.367584584662,0.277676183151
40.0,1.97780931169,0.36371553439,0.285192626683
44.0,1.96664686014,0.366455204205,0.282881601068
48.0,1.9657915807,0.370882158947,0.284347501695
52.0,1.97016846444,0.36361059729,0.283251224679
56.0,1.96644315717,0.364044616782,0.282758933179
60.0,1.9534643735,0.35492500937,0.27778508366
64.0,1.96080709249,0.351809880028,0.2847149611
68.0,1.96082795659,0.346483913385,0.283460337225
72.0,1.95068958601,0.345873989,0.27748104359
76.0,1.95073880167,0.352129974064,0.279916844439
80.0,1.9519055233,0.351020873385,0.277401782125
84.0,1.95689035404,0.349498554133,0.282347167705
88.0,1.95151553114,0.35199712533,0.279060284604
92.0,1.95379822746,0.350356559173,0.279008837912
96.0,1.95516424845,0.351779120357,0.281493340482
100.0,1.95354782726,0.353631223069,0.280662475326
104.0,1.9555250096,0.352841961329,0.282753809665
108.0,1.9552780878,0.348165866452,0.279503695273
112.0,1.95756288307,0.350277685053,0.284384222781
116.0,1.95927488848,0.351245748053,0.283070085323
120.0,1.95599366262,0.34672593344,0.2814951335
124.0,1.95701260992,0.350371094142,0.282269732685
128.0,1.95535076932,0.350073124999,0.281343367068
132.0,1.95426568012,0.345872176865,0.280591772386
136.0,1.95660390691,0.34772436557,0.280352529425
140.0,1.95662916597,0.347920368293,0.280680545836
