x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.4951817383,0.317062869389,0.293321721266
4.0,116.197061475,38.1413226143,35.3733963967
8.0,174.313628414,25.4419576035,23.3374736235
12.0,102.445479459,3.33573876288,3.5148828201
16.0,93.1667972098,3.06658319765,3.09706337522
20.0,88.793331819,3.41595650285,3.59904041867
24.0,88.1537739889,4.81973230349,5.2527738068
28.0,76.6016118297,7.43050191215,8.5707462752
32.0,64.6235384588,10.3967699987,12.0169870015
36.0,49.030517519,11.9854528806,6.9769407582
40.0,43.8952419826,8.23341443726,4.9135760397
44.0,41.9350586718,7.55967396282,4.66744593657
48.0,38.4917171275,4.75407340125,4.05122123845
52.0,38.2014181237,5.15150970982,4.15168722716
56.0,38.5496292402,6.01974213498,4.53660581509
60.0,38.1104097297,6.50807865192,4.77563522327
64.0,39.0581866701,8.76334745365,5.30295988815
68.0,39.9474091352,11.3200093692,6.09799930714
72.0,58.7543007762,28.3281139328,18.5307320176
76.0,56.7592669179,28.2041800212,18.5025869062
80.0,57.0778660919,27.8596846639,18.3589211187
84.0,55.7193578201,28.0603070792,17.9038213239
88.0,53.7411374678,28.5076862801,18.2300485244
92.0,50.1539440404,29.3645257485,19.0738013264
96.0,25.9192389319,30.0153875618,16.6913817332
100.0,25.3137543672,29.4906733926,16.3170159424
104.0,25.2181134275,29.5136384519,16.3928201535
108.0,25.7130320512,29.8075521382,16.7483769867
112.0,25.4346455458,29.3943928235,16.4547288771
116.0,24.7113968568,29.0347188979,15.9966811693
120.0,24.7847012231,28.9480619724,15.9939423936
124.0,24.3137318581,28.3398060171,15.7315418297
128.0,24.6800976536,28.6802003824,16.046442744
132.0,24.2412688326,28.7735067585,15.6841033072
136.0,24.0106691122,28.7329451824,15.5110242951
140.0,24.0613119838,28.3530269137,15.5468092433
