x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.4774103518,0.329930832775,0.350023063164
4.0,108.201674778,40.998692067,41.3203210125
8.0,175.959750925,26.2311442079,45.9220658587
12.0,89.0172610104,4.82867303914,5.19478981386
16.0,76.1678516955,3.71553682799,3.64097047955
20.0,65.902901653,3.1474869197,3.3017137416
24.0,62.6591445197,3.35718325796,3.16865022432
28.0,55.8364394547,3.05003216764,2.6942860322
32.0,52.5809040708,3.17800428283,2.8143946613
36.0,50.7633862532,3.3929162581,3.1592439335
40.0,50.0195391543,3.39085959519,2.94595751169
44.0,50.4114276926,4.55788143035,4.4780176914
48.0,43.1223241139,3.49583644654,3.02141609065
52.0,37.6446697144,3.67757218482,3.3811330523
56.0,35.6067457021,4.7513934179,4.65266521714
60.0,46.917607824,29.3657042379,13.2920452324
64.0,36.5481499673,30.9275375201,27.2021929953
68.0,10.7463304984,38.4500145523,5.3283491937
72.0,8.59277259062,4.35857466828,3.88930825349
76.0,28.0178636713,31.8446774805,18.2020786847
80.0,10.9174899308,23.350768482,5.54564622468
84.0,26.9129743989,31.0219603538,17.5643455741
88.0,27.1683383395,30.9858460254,17.6723596947
92.0,27.1286996671,31.1940533319,17.6372720622
96.0,26.5336284577,30.4354607696,17.1910068445
100.0,26.6400767284,30.6178514884,17.3722953755
104.0,26.2195484538,30.7500753457,16.9976892056
108.0,25.786624774,29.9098877163,16.7320007006
112.0,26.0232941989,30.3661037602,16.9776404461
116.0,25.9796683798,30.5123844147,16.9517051603
120.0,25.7956835027,30.0754416142,16.8109781186
124.0,25.7387181449,29.7615466336,16.8301305492
128.0,25.5240442613,29.7321386209,16.5398767869
132.0,25.6038622134,30.1224423245,16.5206388814
136.0,25.2941192687,29.7709833523,16.4410914812
140.0,25.0244120731,30.1168820498,16.2410271159
