x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.47748920124,0.401820607707,0.314027746237
4.0,-8.20737621829,1.21781836592,1.21696882144
8.0,-6.03181921251,0.14099666514,0.0922680143188
12.0,-5.66043980748,0.0654302620028,0.055743680442
16.0,-5.71713737165,0.05965943538,0.05641378844
20.0,-5.71797246494,0.0692200588444,0.0615375107504
24.0,-5.81544864481,0.07146667994,0.070790840954
28.0,-5.78991868652,0.07357894094,0.0779403489892
32.0,-5.81078361073,0.08449913384,0.08933598378
36.0,-5.83885716207,0.10018266102,0.100315830561
40.0,-5.87230192065,0.09579792615,0.1029376327
44.0,-5.95966636052,0.14248177276,0.132740083817
48.0,-5.84136875356,0.12041670659,0.13244143615
52.0,-5.75952940619,0.153894471015,0.164969584001
56.0,-5.81154088331,0.21864640448,0.240573003617
60.0,-6.7448084864,0.81329164004,0.803935222045
64.0,-6.22046318557,2.59051814397,1.23660755847
68.0,-4.02929062702,0.918680878712,3.15396077261
72.0,-3.78905449112,0.79980842086,0.7029213203
76.0,-8.20060152539,1.91908213572,1.22813409262
80.0,-4.41959697568,1.03616756708,4.07842580899
84.0,-8.15149130352,1.90938361161,1.25700283814
88.0,-8.16513912429,1.91408940097,1.25080278079
92.0,-8.19529724521,1.91637198633,1.23219884248
96.0,-8.14699286116,1.92470612444,1.26787065437
100.0,-8.15330233845,1.9539477094,1.25475121266
104.0,-8.17146086315,1.94084650967,1.25153350485
108.0,-8.12990600504,1.9511796316,1.27212976228
112.0,-8.14093480776,1.94834090871,1.26523965795
116.0,-8.13040479564,1.95509396859,1.27531641695
120.0,-8.13628873684,1.96974539625,1.27172127021
124.0,-8.14898473222,1.94312837405,1.27024007376
128.0,-8.15380730695,1.97714525557,1.26157644851
132.0,-8.16124081653,1.94709689181,1.26164401881
136.0,-8.09347793835,1.98186974908,1.3005659572
140.0,-8.1331182458,1.98916116654,1.27848782348
