x_interp,Beta,Plus_Unc,Minus_Unc
0.0,1.52422624797,0.34384739722,0.35376844291
4.0,3.24543783267,0.062903455985,0.123174397159
8.0,1.95914412872,0.0709155641084,0.07050493342
12.0,0.576840877855,0.0294075239453,0.019084080418
16.0,0.550224108475,0.0101557389528,0.0077130272955
20.0,0.561309853527,0.020896970809,0.0124458892003
24.0,0.624296905706,0.054555022213,0.041700681101
28.0,0.90725461288,0.15098957253,0.115358232718
32.0,1.28111677585,0.239711354365,0.19283825094
36.0,1.7968807585,0.279576813835,0.24758786735
40.0,1.73172186107,0.25685884653,0.229731612367
44.0,1.82573093834,0.292024453845,0.244070744525
48.0,1.93407568497,0.34251385217,0.26122873762
52.0,1.92613171912,0.344688021714,0.263050832955
56.0,1.92484875294,0.342352378498,0.266057488437
60.0,1.91984326523,0.33270140026,0.264741243974
64.0,1.92264030993,0.33931549157,0.26861465083
68.0,1.92820415011,0.35342144685,0.27255239493
72.0,1.93406116388,0.34779076349,0.26562153085
76.0,1.91602882454,0.32808897647,0.263326472087
80.0,1.92437954128,0.361404184852,0.272025928625
84.0,1.92989204804,0.34033087641,0.273636914944
88.0,1.93099213437,0.35013146493,0.27180290652
92.0,1.93054229152,0.35302892237,0.2718356418
96.0,2.00901265832,0.35929503176,0.28326089355
100.0,2.00190411925,0.36799174248,0.28787327398
104.0,2.01356903403,0.374896941735,0.29132353915
108.0,1.98295374654,0.352856261117,0.280975064733
112.0,1.97777236615,0.354528135199,0.28198485902
116.0,1.99177839735,0.38406683164,0.29004990266
120.0,1.97527630318,0.351828656723,0.2818083166
124.0,1.98490946968,0.362650252141,0.286123302289
128.0,1.98435037068,0.36767908513,0.283754664076
132.0,1.97753900642,0.349753793193,0.281724908783
136.0,1.97096126156,0.35358906459,0.279993913852
140.0,1.9756489768,0.35052696078,0.281278332961
