x_interp,Beta,Plus_Unc,Minus_Unc
0.0,1.48537561176,0.315852292347,0.339906587051
4.0,1.94611574176,0.34585271637,0.280025626028
8.0,0.678300773893,0.450582194912,0.074251050916
12.0,0.557784926745,0.0223438094801,0.011281436635
16.0,0.558040373565,0.0201164705875,0.0112653258169
20.0,0.562164304916,0.0287171863665,0.0131740291978
24.0,0.57509438299,0.038000402787,0.0196961475624
28.0,0.579937663689,0.0406022539539,0.0222064736749
32.0,0.586378170281,0.051489013953,0.026125332926
36.0,0.604160912326,0.0742711283581,0.0369285499895
40.0,0.603844486958,0.0691646137828,0.036167338957
44.0,0.638139100248,0.136973981772,0.0583384095314
48.0,0.627190673957,0.0892493550755,0.0505688675775
52.0,0.653045558478,0.133636317156,0.066242029474
56.0,0.752678504141,0.973598798739,0.134612446919
60.0,1.85868958263,0.376422041769,0.40434742286
64.0,1.89425170273,0.3685170152,0.34617337675
68.0,1.90441535229,0.34803224454,0.29495597636
72.0,1.91125232267,0.340933754828,0.280367095219
76.0,1.94645942582,0.3503725435,0.276539616672
80.0,1.93151351976,0.34077255871,0.28132929419
84.0,1.95274565889,0.350303367005,0.27890920529
88.0,1.95520562686,0.350839181505,0.283513808991
92.0,1.95465301447,0.348288865302,0.28026311078
96.0,1.95548092215,0.353243305825,0.281408781129
100.0,1.94929639952,0.34953750159,0.27711239977
104.0,1.95100296498,0.348293743915,0.281799206195
108.0,1.95498672931,0.35156225989,0.28236933284
112.0,1.95149149568,0.35034202345,0.27882543265
116.0,1.95489722486,0.352521816085,0.280372368432
120.0,1.95476892674,0.35169609931,0.27835369094
124.0,1.95575618989,0.348428338765,0.283213608745
128.0,1.95610024464,0.350416384165,0.280838601193
132.0,1.94858475033,0.347015163555,0.276555058985
136.0,1.95799787401,0.350770660282,0.28269212177
140.0,1.9569181206,0.35018032575,0.281147345599
