x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.4363833829,0.405274018109,0.23727554603
4.0,106.597400597,40.7947442588,41.463874027
8.0,90.4140992389,34.6828479911,28.7563845677
12.0,82.0847383553,32.4833204477,24.4779191561
16.0,74.4379547711,32.7175278708,24.8877753498
20.0,60.8324417494,34.4174561729,22.2650696711
24.0,63.2529517966,32.3946062799,23.2544027465
28.0,62.3983381927,31.5608011653,22.5589130769
32.0,61.5873306589,30.7007646156,21.2399664113
36.0,59.0826547958,30.706117999,21.1618295372
40.0,33.3506118592,9.23290193855,4.80345716345
44.0,60.6291324001,29.2870304036,19.6641713643
48.0,60.2240283549,29.2251670534,19.1949429663
52.0,36.6948472347,13.2757887482,5.9145944301
56.0,34.5990236631,8.34708299645,4.80410772405
60.0,34.9739085089,9.14371824219,4.95046579735
64.0,34.578789415,7.44217112975,4.51639685102
68.0,34.0605757758,6.2791336957,4.11875005446
72.0,35.2793869445,6.17169779025,4.14460705132
76.0,34.5456619484,5.49168438475,3.97418254665
80.0,34.8229285867,5.17129584803,3.79595586798
84.0,33.9932272725,4.89866979697,3.69868756595
88.0,34.2201210052,5.13995348457,3.83173534212
92.0,34.750010303,4.9741290404,3.8063597349
96.0,34.4930368753,4.43938462788,3.5788758972
100.0,34.7879683326,4.13057324904,3.42392606446
104.0,35.141370701,4.0280595404,3.4332653231
108.0,35.1446899264,3.9462502084,3.39238733624
112.0,35.7512338675,3.76372607655,3.27186575638
116.0,36.2795756733,3.93687892515,3.38185572805
120.0,36.6047657145,4.61693371239,3.83826927485
124.0,35.9132315147,5.9700368247,4.1755942039
128.0,54.1993919917,27.5271497758,17.2994400763
132.0,24.6216094757,28.7873139077,15.8925215381
136.0,24.4636198574,28.5729988765,15.7472302235
140.0,24.6101431424,28.73025726,15.8787269846
