x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.47698950945,0.24994049148,0.347576366927
4.0,-7.84597061366,1.45853569058,1.45482286171
8.0,-5.84063615321,0.279592590066,0.2448979831
12.0,-5.50422442187,0.169020031272,0.173187936157
16.0,-5.81369827007,0.19486080289,0.151706373763
20.0,-5.86996189634,0.10221253399,0.0964992384788
24.0,-5.60287035073,0.16265211969,0.189193522139
28.0,-5.39513662378,0.127162256165,0.126488750175
32.0,-5.42996062278,0.13852198904,0.13606714323
36.0,-5.40242277936,0.148072461342,0.150872919239
40.0,-5.45259679168,0.150826818883,0.151121768658
44.0,-5.45750198122,0.15715959428,0.16703556522
48.0,-5.44334235013,0.185854883232,0.217650874
52.0,-5.46701146825,0.18536086957,0.205974181774
56.0,-5.45450856344,0.184499165931,0.206685332232
60.0,-5.42697465268,0.191611874095,0.210510275685
64.0,-5.42508348819,0.22158131856,0.240488179892
68.0,-5.4341520053,0.228143849688,0.260888317366
72.0,-5.42607284835,0.25451381548,0.2823131927
76.0,-5.33067508883,0.27393718081,0.278784539648
80.0,-5.32691007482,0.255631705465,0.261132729655
84.0,-5.37642275742,0.275781571694,0.289537832222
88.0,-5.08439370226,0.494412704065,0.437741383765
92.0,-5.20544325067,0.55227802832,0.534524376561
96.0,-5.42969577857,0.673807159611,1.35759032549
100.0,-5.54160397315,0.721447993863,1.78524246182
104.0,-8.11796841367,1.89710199841,1.28210694034
108.0,-8.11857914558,1.91095817877,1.27698731183
112.0,-8.10964073126,1.91383987864,1.2866605927
116.0,-8.13746903741,1.95692427908,1.27815391146
120.0,-8.13133231766,1.91713654855,1.27389706449
124.0,-8.11347829947,1.94132522633,1.28535477195
128.0,-8.13803816603,1.92759748014,1.27317404043
132.0,-8.11327246588,1.92118493987,1.27901644899
136.0,-8.10625149978,1.93282150376,1.2920318945
140.0,-8.13032063196,1.92496029756,1.28063274317
