x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.47280187244,0.394178386037,0.342774433007
4.0,-3.16271605996,0.101195372785,0.139795909246
8.0,-4.07553963711,0.0717206141002,0.072142876735
12.0,-5.6446527399,0.061838875384,0.0460591755028
16.0,-5.64881682099,0.0253154833,0.024590178248
20.0,-5.85268920215,0.04271168547,0.0358987485408
24.0,-6.17796419913,0.0888900938932,0.08143346314
28.0,-6.1818718029,0.15949939983,0.14843371363
32.0,-6.04236728593,0.165852908037,0.16920591966
36.0,-5.87067937647,0.157626063692,0.173260835312
40.0,-5.89499576943,0.15482712267,0.165246434989
44.0,-5.89417614899,0.154240621175,0.173801092115
48.0,-5.92626418108,0.179324989805,0.189329246093
52.0,-6.00333267166,0.19677023106,0.21515417719
56.0,-6.06735377772,0.211296731965,0.237787213668
60.0,-6.1118940363,0.21551168529,0.256370206175
64.0,-6.11818103295,0.222376831685,0.258093335568
68.0,-6.0576637049,0.22819418778,0.265533244527
72.0,-6.08996491733,0.230728994205,0.267777034017
76.0,-6.09762576401,0.214247790827,0.251660935101
80.0,-6.10334085841,0.241376939715,0.283739901725
84.0,-6.18974980189,0.249247888989,0.299246290618
88.0,-6.24320749773,0.28733642823,0.359331291875
92.0,-6.27956544537,0.306360990325,0.387586943015
96.0,-6.89920699793,0.473731810471,0.431580759045
100.0,-6.92412008882,0.530234583486,0.462300754241
104.0,-6.91112378014,0.60778807885,0.496640834652
108.0,-6.95340636902,0.57120462729,0.501299393851
112.0,-6.99629913832,0.6482013138,0.53917875159
116.0,-7.03049489282,0.71776465988,0.55979297097
120.0,-7.05642177929,0.6832901664,0.569137932225
124.0,-7.05542434579,0.758765326515,0.604726783385
128.0,-7.0458192104,0.767953793556,0.607160050385
132.0,-7.0923317454,0.75142540302,0.61227928984
136.0,-7.14334580921,0.796600976445,0.625760109435
140.0,-7.18327584598,0.824102189309,0.6536084053
