Source,Center_X,Center_Y,Rstar,Rin,Rout
cit6,409,429,57,67,77
epaqr,272,297,87,97,107
iktau,524,553,52,62,72
irc10011,333,355,30,40,50
irc10216,981,1001,178,188,277
lpand,270,291,32,42,62
nmlcyg,660,695,59,79,99
ocet,542,571,92,102,122
rcas,394,422,88,98,128
rleo,412,426,74,84,94
rxboo,418,431,42,52,72
txcam,466,496,46,56,76
uhya,473,486,81,91,121
waql,261,294,43,53,73
whya,713,726,133,153,183
