Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.84750889,-2.964777854,JCMTCAL,56545.6841,61,SCUBA-2,SCUBA-2-850um,224,0.071630092,pointing,science,raw-850um,scuba2_00061_20130910T162455,caom:JCMT/scuba2_00061_20130910T162455/raw-850um
oCeti,34.83624945,-2.964916799,JCMTCAL,56625.38626,45,SCUBA-2,SCUBA-2-850um,189,0.090705615,pointing,science,raw-850um,scuba2_00045_20131129T091526,caom:JCMT/scuba2_00045_20131129T091526/raw-850um
oCeti,34.84431021,-2.971583373,JCMTCAL,56555.45431,50,SCUBA-2,SCUBA-2-850um,185,0.06883291,pointing,science,raw-850um,scuba2_00050_20130920T105321,caom:JCMT/scuba2_00050_20130920T105321/raw-850um
oCeti,34.84362037,-2.964638967,JCMTCAL,56654.35466,31,SCUBA-2,SCUBA-2-850um,272,0.073953209,pointing,science,raw-850um,scuba2_00031_20131228T083027,caom:JCMT/scuba2_00031_20131228T083027/raw-850um
oCeti,34.84278592,-2.962555638,JCMTCAL,56317.29556,22,SCUBA-2,SCUBA-2-850um,260,0.06326584,pointing,science,raw-850um,scuba2_00022_20130125T070522,caom:JCMT/scuba2_00022_20130125T070522/raw-850um
oCeti,34.82762696,-2.952277974,JCMTCAL,56625.41979,48,SCUBA-2,SCUBA-2-850um,188,0.082059808,pointing,science,raw-850um,scuba2_00048_20131129T100416,caom:JCMT/scuba2_00048_20131129T100416/raw-850um
oCeti,34.84723074,-2.964916741,JCMTCAL,56555.57891,60,SCUBA-2,SCUBA-2-850um,186,0.069930113,pointing,science,raw-850um,scuba2_00060_20130920T135254,caom:JCMT/scuba2_00060_20130920T135254/raw-850um
oCeti,34.83374615,-2.95005577,JCMTCAL,56316.21438,14,SCUBA-2,SCUBA-2-850um,256,0.065050315,pointing,science,raw-850um,scuba2_00014_20130124T050826,caom:JCMT/scuba2_00014_20130124T050826/raw-850um
oCeti,34.84334222,-2.964777855,JCMTCAL,56315.25156,21,SCUBA-2,SCUBA-2-850um,250,0.072674523,pointing,science,raw-850um,scuba2_00021_20130123T060158,caom:JCMT/scuba2_00021_20130123T060158/raw-850um
oCeti,34.84778703,-2.964777854,JCMTCAL,56543.63821,33,SCUBA-2,SCUBA-2-850um,187,0.073575899,pointing,science,raw-850um,scuba2_00033_20130908T151824,caom:JCMT/scuba2_00033_20130908T151824/raw-850um
oCeti,34.84792611,-2.964638966,JCMTCAL,56531.67122,73,SCUBA-2,SCUBA-2-850um,187,0.073726669,pointing,science,raw-850um,scuba2_00073_20130827T160441,caom:JCMT/scuba2_00073_20130827T160441/raw-850um
oCeti,34.83972631,-2.970055615,JCMTCAL,56293.19508,11,SCUBA-2,SCUBA-2-850um,168,0.078788642,pointing,science,raw-850um,scuba2_00011_20130101T043935,caom:JCMT/scuba2_00011_20130101T043935/raw-850um
oCeti,34.83680015,-2.974500017,JCMTCAL,56555.51637,55,SCUBA-2,SCUBA-2-850um,186,0.07066568,pointing,science,raw-850um,scuba2_00055_20130920T122323,caom:JCMT/scuba2_00055_20130920T122323/raw-850um
oCeti,34.84348129,-2.964638968,JCMTCAL,56317.26157,19,SCUBA-2,SCUBA-2-850um,254,0.073877748,pointing,science,raw-850um,scuba2_00019_20130125T061602,caom:JCMT/scuba2_00019_20130125T061602/raw-850um
oCeti,34.84584566,-2.979638836,JCMTCAL,56626.31964,32,SCUBA-2,SCUBA-2-850um,189,0.085546265,pointing,science,raw-850um,scuba2_00032_20131130T074004,caom:JCMT/scuba2_00032_20131130T074004/raw-850um
oCeti,34.83207718,-2.976166671,JCMTCAL,56570.45395,27,SCUBA-2,SCUBA-2-850um,276,0.074255449,pointing,science,raw-850um,scuba2_00027_20131005T105201,caom:JCMT/scuba2_00027_20131005T105201/raw-850um
oCeti,34.8320772,-2.970888934,JCMTCAL,56614.30752,18,SCUBA-2,SCUBA-2-850um,189,0.071351021,pointing,science,raw-850um,scuba2_00018_20131118T072245,caom:JCMT/scuba2_00018_20131118T072245/raw-850um
