Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Field of View,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9923063,13.28963877,JCMTCAL,56387.331,26,SCUBA-2,SCUBA-2-850um,263,0.097499109,pointing,science,raw-850um,scuba2_00026_20130405T075433,caom:JCMT/scuba2_00026_20130405T075433/raw-850um
IRC+10216,146.9997273,13.29199967,JCMTCAL,56330.5272,42,SCUBA-2,SCUBA-2-850um,174,0.082097378,pointing,science,raw-850um,scuba2_00042_20130207T123901,caom:JCMT/scuba2_00042_20130207T123901/raw-850um
IRC+10216,146.992877,13.28436105,JCMTCAL,56293.49596,43,SCUBA-2,SCUBA-2-850um,252,0.062222181,pointing,science,raw-850um,scuba2_00043_20130101T115404,caom:JCMT/scuba2_00043_20130101T115404/raw-850um
IRC+10216,146.9995846,13.29380522,JCMTCAL,56338.51056,67,SCUBA-2,SCUBA-2-850um,218,0.082256633,pointing,science,raw-850um,scuba2_00067_20130215T121438,caom:JCMT/scuba2_00067_20130215T121438/raw-850um
IRC+10216,146.9987284,13.29408303,JCMTCAL,56315.59895,63,SCUBA-2,SCUBA-2-850um,169,0.080671009,pointing,science,raw-850um,scuba2_00063_20130123T142156,caom:JCMT/scuba2_00063_20130123T142156/raw-850um
IRC+10216,146.9997273,13.29199967,JCMTCAL,56329.52316,54,SCUBA-2,SCUBA-2-850um,127,0.081779327,pointing,science,raw-850um,scuba2_00054_20130206T123140,caom:JCMT/scuba2_00054_20130206T123140/raw-850um
IRC+10216,146.9907366,13.30852749,JCMTCAL,56352.41363,31,SCUBA-2,SCUBA-2-850um,171,0.099144722,pointing,science,raw-850um,scuba2_00031_20130301T095525,caom:JCMT/scuba2_00031_20130301T095525/raw-850um
IRC+10216,146.9997273,13.2917219,JCMTCAL,56387.3414,28,SCUBA-2,SCUBA-2-850um,270,0.081937967,pointing,science,raw-850um,scuba2_00028_20130405T080922,caom:JCMT/scuba2_00028_20130405T080922/raw-850um
IRC+10216,146.9995846,13.29199968,JCMTCAL,56389.36245,31,SCUBA-2,SCUBA-2-850um,260,0.082017673,pointing,science,raw-850um,scuba2_00031_20130407T084116,caom:JCMT/scuba2_00031_20130407T084116/raw-850um
IRC+10216,147.0082932,13.33463747,JCMTCAL,56338.59133,75,SCUBA-2,SCUBA-2-850um,256,0.107251924,pointing,science,raw-850um,scuba2_00075_20130215T141108,caom:JCMT/scuba2_00075_20130215T141108/raw-850um
IRC+10216,146.9981575,13.29227751,JCMTCAL,56364.48955,32,SCUBA-2,SCUBA-2-850um,170,0.081858879,pointing,science,raw-850um,scuba2_00032_20130313T114211,caom:JCMT/scuba2_00032_20130313T114211/raw-850um
IRC+10216,146.9992991,13.29199969,JCMTCAL,56327.54641,47,SCUBA-2,SCUBA-2-850um,132,0.082336187,pointing,science,raw-850um,scuba2_00047_20130204T130619,caom:JCMT/scuba2_00047_20130204T130619/raw-850um
IRC+10216,146.9994418,13.29199968,JCMTCAL,56332.53104,49,SCUBA-2,SCUBA-2-850um,171,0.082416046,pointing,science,raw-850um,scuba2_00049_20130209T124430,caom:JCMT/scuba2_00049_20130209T124430/raw-850um
IRC+10216,146.9711852,13.29199926,JCMTCAL,56296.60757,59,SCUBA-2,SCUBA-2-850um,171,0.097689478,pointing,science,raw-850um,scuba2_00059_20130104T143410,caom:JCMT/scuba2_00059_20130104T143410/raw-850um
IRC+10216,146.9867406,13.28561105,JCMTCAL,56408.2777,16,SCUBA-2,SCUBA-2-850um,172,0.075446778,pointing,science,raw-850um,scuba2_00016_20130426T063813,caom:JCMT/scuba2_00016_20130426T063813/raw-850um
IRC+10216,147.006434,13.28199939,JCMTCAL,56624.5665,57,SCUBA-2,SCUBA-2-850um,190,0.080091903,pointing,science,raw-850um,scuba2_00057_20131128T133541,caom:JCMT/scuba2_00057_20131128T133541/raw-850um
IRC+10216,146.9994419,13.29213857,JCMTCAL,56383.39326,28,SCUBA-2,SCUBA-2-850um,263,0.082495675,pointing,science,raw-850um,scuba2_00028_20130401T092546,caom:JCMT/scuba2_00028_20130401T092546/raw-850um
IRC+10216,146.9987283,13.2921386,JCMTCAL,56365.46395,41,SCUBA-2,SCUBA-2-850um,256,0.082895206,pointing,science,raw-850um,scuba2_00041_20130314T110735,caom:JCMT/scuba2_00041_20130314T110735/raw-850um
IRC+10216,146.9930197,13.28422216,JCMTCAL,56387.23685,15,SCUBA-2,SCUBA-2-850um,261,0.06208368,pointing,science,raw-850um,scuba2_00015_20130405T054037,caom:JCMT/scuba2_00015_20130405T054037/raw-850um
IRC+10216,146.9995846,13.29199968,JCMTCAL,56293.62623,57,SCUBA-2,SCUBA-2-850um,260,0.082017673,pointing,science,raw-850um,scuba2_00057_20130101T150010,caom:JCMT/scuba2_00057_20130101T150010/raw-850um
IRC+10216,146.9977293,13.29227752,JCMTCAL,56314.63429,39,SCUBA-2,SCUBA-2-850um,127,0.081303563,pointing,science,raw-850um,scuba2_00039_20130122T151256,caom:JCMT/scuba2_00039_20130122T151256/raw-850um
IRC+10216,146.9984429,13.29213861,JCMTCAL,56358.49749,38,SCUBA-2,SCUBA-2-850um,126,0.082575612,pointing,science,raw-850um,scuba2_00038_20130307T115617,caom:JCMT/scuba2_00038_20130307T115617/raw-850um
IRC+10216,146.99987,13.29199967,JCMTCAL,56400.3348,21,SCUBA-2,SCUBA-2-850um,132,0.082017673,pointing,science,raw-850um,scuba2_00021_20130418T080128,caom:JCMT/scuba2_00021_20130418T080128/raw-850um
IRC+10216,146.9931624,13.28380549,JCMTCAL,56609.61803,25,SCUBA-2,SCUBA-2-850um,104,0.06111849,pointing,science,raw-850um,scuba2_00025_20131113T144919,caom:JCMT/scuba2_00025_20131113T144919/raw-850um
IRC+10216,147.0071476,13.28311045,JCMTCAL,56624.56325,56,SCUBA-2,SCUBA-2-850um,104,0.071746264,pointing,science,raw-850um,scuba2_00056_20131128T133037,caom:JCMT/scuba2_00056_20131128T133037/raw-850um
IRC+10216,146.9756106,13.26630529,JCMTCAL,56625.6024,66,SCUBA-2,SCUBA-2-850um,105,0.071033334,pointing,science,raw-850um,scuba2_00066_20131129T142654,caom:JCMT/scuba2_00066_20131129T142654/raw-850um
IRC+10216,147.0034658,13.29199969,JCMTCAL,56423.28786,36,SCUBA-2,SCUBA-2-850um,251,0.082655318,pointing,science,raw-850um,scuba2_00036_20130511T065424,caom:JCMT/scuba2_00036_20130511T065424/raw-850um
IRC+10216,146.9930197,13.28366661,JCMTCAL,56355.31641,39,SCUBA-2,SCUBA-2-850um,167,0.061255911,pointing,science,raw-850um,scuba2_00039_20130304T073514,caom:JCMT/scuba2_00039_20130304T073514/raw-850um
IRC+10216,146.9987283,13.2921386,JCMTCAL,56333.54987,57,SCUBA-2,SCUBA-2-850um,177,0.082895206,pointing,science,raw-850um,scuba2_00057_20130210T131118,caom:JCMT/scuba2_00057_20130210T131118/raw-850um
IRC+10216,146.998871,13.29213859,JCMTCAL,56329.56141,58,SCUBA-2,SCUBA-2-850um,259,0.082975297,pointing,science,raw-850um,scuba2_00058_20130206T132758,caom:JCMT/scuba2_00058_20130206T132758/raw-850um
IRC+10216,146.9987283,13.2921386,JCMTCAL,56357.49111,36,SCUBA-2,SCUBA-2-850um,259,0.082895206,pointing,science,raw-850um,scuba2_00036_20130306T114646,caom:JCMT/scuba2_00036_20130306T114646/raw-850um
IRC+10216,147.0010397,13.29227756,JCMTCAL,56480.2106,4,SCUBA-2,SCUBA-2-850um,169,0.076774616,pointing,science,raw-850um,scuba2_00004_20130707T050306,caom:JCMT/scuba2_00004_20130707T050306/raw-850um
