Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Quality,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9987282904,13.2919997102,JCMTCAL,,56026.3892593,29,SCUBA-2,SCUBA-2-850um,162,pointing,science,raw-850um,scuba2_00029_20120409T092032,caom:JCMT/scuba2_00029_20120409T092032/raw-850um
IRC+10216,146.9927343365,13.2847777128,JCMTCAL,,56008.2873148,29,SCUBA-2,SCUBA-2-850um,161,pointing,science,raw-850um,scuba2_00029_20120322T065344,caom:JCMT/scuba2_00029_20120322T065344/raw-850um
IRC+10216,146.9928770366,13.2842221612,JCMTCAL,,56283.5225347,57,SCUBA-2,SCUBA-2-850um,172,pointing,science,raw-850um,scuba2_00057_20121222T123200,caom:JCMT/scuba2_00057_20121222T123200/raw-850um
IRC+10216,146.9928770358,13.2842221611,JCMTCAL,,56029.2201968,22,SCUBA-2,SCUBA-2-850um,160,pointing,science,raw-850um,scuba2_00022_20120412T051705,caom:JCMT/scuba2_00022_20120412T051705/raw-850um
IRC+10216,146.9933051442,13.2836665995,JCMTCAL,,55962.3690162,32,SCUBA-2,SCUBA-2-850um,160,pointing,science,raw-850um,scuba2_00032_20120205T085123,caom:JCMT/scuba2_00032_20120205T085123/raw-850um
IRC+10216,146.9931624408,13.2838054902,JCMTCAL,,55951.401412,31,SCUBA-2,SCUBA-2-850um,159,pointing,science,raw-850um,scuba2_00031_20120125T093802,caom:JCMT/scuba2_00031_20120125T093802/raw-850um
IRC+10216,146.9984428743,13.2921386085,JCMTCAL,,56064.2992824,23,SCUBA-2,SCUBA-2-850um,171,pointing,science,raw-850um,scuba2_00023_20120517T071058,caom:JCMT/scuba2_00023_20120517T071058/raw-850um
IRC+10216,146.9990137118,13.2919996994,JCMTCAL,,55978.5091435,35,SCUBA-2,SCUBA-2-850um,157,pointing,science,raw-850um,scuba2_00035_20120221T121310,caom:JCMT/scuba2_00035_20120221T121310/raw-850um
IRC+10216,146.9997272546,13.2917218967,JCMTCAL,,56026.3533565,26,SCUBA-2,SCUBA-2-850um,105,pointing,science,raw-850um,scuba2_00026_20120409T082850,caom:JCMT/scuba2_00026_20120409T082850/raw-850um
IRC+10216,146.9981574577,13.2922775067,JCMTCAL,,55962.583912,54,SCUBA-2,SCUBA-2-850um,156,pointing,science,raw-850um,scuba2_00054_20120205T140050,caom:JCMT/scuba2_00054_20120205T140050/raw-850um
IRC+10216,146.993162445,13.2839443812,JCMTCAL,,56033.2004977,12,SCUBA-2,SCUBA-2-850um,162,pointing,science,raw-850um,scuba2_00012_20120416T044843,caom:JCMT/scuba2_00012_20120416T044843/raw-850um
IRC+10216,146.9995845499,13.29186079,JCMTCAL,,56283.6530903,73,SCUBA-2,SCUBA-2-850um,170,pointing,science,raw-850um,scuba2_00073_20121222T153953,caom:JCMT/scuba2_00073_20121222T153953/raw-850um
IRC+10216,147.0222756683,13.2921366357,JCMTCAL,,56291.6585069,32,SCUBA-2,SCUBA-2-850um,169,pointing,science,raw-850um,scuba2_00032_20121230T154746,caom:JCMT/scuba2_00032_20121230T154746/raw-850um
IRC+10216,146.9865979403,13.2854721602,JCMTCAL,,56034.3007407,19,SCUBA-2,SCUBA-2-850um,162,pointing,science,raw-850um,scuba2_00019_20120417T071304,caom:JCMT/scuba2_00019_20120417T071304/raw-850um
IRC+10216,146.9997272611,13.2918607846,JCMTCAL,,56031.330706,30,SCUBA-2,SCUBA-2-850um,163,pointing,science,raw-850um,scuba2_00030_20120414T075613,caom:JCMT/scuba2_00030_20120414T075613/raw-850um
IRC+10216,146.9984428796,13.292277496,JCMTCAL,,55952.6064005,63,SCUBA-2,SCUBA-2-850um,154,pointing,science,raw-850um,scuba2_00063_20120126T143313,caom:JCMT/scuba2_00063_20120126T143313/raw-850um
IRC+10216,146.9933051448,13.2836666001,JCMTCAL,,56002.2621644,16,SCUBA-2,SCUBA-2-850um,160,pointing,science,raw-850um,scuba2_00016_20120316T061731,caom:JCMT/scuba2_00016_20120316T061731/raw-850um
IRC+10216,146.9791772928,13.2825553365,JCMTCAL,,56292.4994213,48,SCUBA-2,SCUBA-2-850um,172,pointing,science,raw-850um,scuba2_00048_20121231T115557,caom:JCMT/scuba2_00048_20121231T115557/raw-850um
IRC+10216,146.9928770344,13.2840832735,JCMTCAL,,56005.2793634,15,SCUBA-2,SCUBA-2-850um,161,pointing,science,raw-850um,scuba2_00015_20120319T064217,caom:JCMT/scuba2_00015_20120319T064217/raw-850um
IRC+10216,146.9930197432,13.2842221591,JCMTCAL,,55952.4272569,38,SCUBA-2,SCUBA-2-850um,158,pointing,science,raw-850um,scuba2_00038_20120126T101515,caom:JCMT/scuba2_00038_20120126T101515/raw-850um
IRC+10216,146.9757530013,13.271027486,JCMTCAL,,56287.5364699,30,SCUBA-2,SCUBA-2-850um,258,pointing,science,raw-850um,scuba2_00030_20121226T125214,caom:JCMT/scuba2_00030_20121226T125214/raw-850um
IRC+10216,146.9928770319,13.2839443847,JCMTCAL,,55950.4156019,39,SCUBA-2,SCUBA-2-850um,156,pointing,science,raw-850um,scuba2_00039_20120124T095828,caom:JCMT/scuba2_00039_20120124T095828/raw-850um
IRC+10216,146.9978720368,13.2922775178,JCMTCAL,,55949.6302662,54,SCUBA-2,SCUBA-2-850um,155,pointing,science,raw-850um,scuba2_00054_20120123T150735,caom:JCMT/scuba2_00054_20120123T150735/raw-850um
IRC+10216,146.9974438998,13.2921386453,JCMTCAL,,56026.4284954,33,SCUBA-2,SCUBA-2-850um,162,pointing,science,raw-850um,scuba2_00033_20120409T101702,caom:JCMT/scuba2_00033_20120409T101702/raw-850um
IRC+10216,146.9915927454,13.2913054404,JCMTCAL,,55950.5354977,52,SCUBA-2,SCUBA-2-850um,157,pointing,science,raw-850um,scuba2_00052_20120124T125107,caom:JCMT/scuba2_00052_20120124T125107/raw-850um
IRC+10216,146.9994418442,13.2919996829,JCMTCAL,,56035.345706,31,SCUBA-2,SCUBA-2-850um,153,pointing,science,raw-850um,scuba2_00031_20120418T081749,caom:JCMT/scuba2_00031_20120418T081749/raw-850um
IRC+10216,146.9931624453,13.2839443813,JCMTCAL,,56004.2730093,15,SCUBA-2,SCUBA-2-850um,165,pointing,science,raw-850um,scuba2_00015_20120318T063308,caom:JCMT/scuba2_00015_20120318T063308/raw-850um
IRC+10216,146.994874882,13.2826943493,JCMTCAL,,55976.2810069,15,SCUBA-2,SCUBA-2-850um,262,pointing,science,raw-850um,scuba2_00015_20120219T064439,caom:JCMT/scuba2_00015_20120219T064439/raw-850um
IRC+10216,146.9756106179,13.2653330816,JCMTCAL,,55951.4540278,35,SCUBA-2,SCUBA-2-850um,157,pointing,science,raw-850um,scuba2_00035_20120125T105348,caom:JCMT/scuba2_00035_20120125T105348/raw-850um
IRC+10216,146.9940186634,13.2832499201,JCMTCAL,,56216.6492245,83,SCUBA-2,SCUBA-2-850um,161,pointing,science,raw-850um,scuba2_00083_20121016T153427,caom:JCMT/scuba2_00083_20121016T153427/raw-850um
IRC+10216,146.9998699719,13.2918607787,JCMTCAL,,56066.2294097,16,SCUBA-2,SCUBA-2-850um,208,pointing,science,raw-850um,scuba2_00016_20120519T053021,caom:JCMT/scuba2_00016_20120519T053021/raw-850um
IRC+10216,146.9938759614,13.2833888118,JCMTCAL,,56008.2295833,23,SCUBA-2,SCUBA-2-850um,158,pointing,science,raw-850um,scuba2_00023_20120322T053036,caom:JCMT/scuba2_00023_20120322T053036/raw-850um
IRC+10216,146.9864552336,13.2854721587,JCMTCAL,,55981.4451968,37,SCUBA-2,SCUBA-2-850um,173,pointing,science,raw-850um,scuba2_00037_20120224T104105,caom:JCMT/scuba2_00037_20120224T104105/raw-850um
IRC+10216,146.99287704,13.2844999362,JCMTCAL,,55976.3691435,22,SCUBA-2,SCUBA-2-850um,261,pointing,science,raw-850um,scuba2_00022_20120219T085134,caom:JCMT/scuba2_00022_20120219T085134/raw-850um
IRC+10216,146.9998699781,13.2919996662,JCMTCAL,,55952.5494444,57,SCUBA-2,SCUBA-2-850um,153,pointing,science,raw-850um,scuba2_00057_20120126T131112,caom:JCMT/scuba2_00057_20120126T131112/raw-850um
IRC+10216,146.9948748781,13.2825554613,JCMTCAL,,55964.3078472,22,SCUBA-2,SCUBA-2-850um,269,pointing,science,raw-850um,scuba2_00022_20120207T072318,caom:JCMT/scuba2_00022_20120207T072318/raw-850um
