Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9950175872,13.2826943457,JCMTCAL,57011.4434954,30,SCUBA-2,SCUBA-2-850um,106,pointing,science,raw-850um,scuba2_00030_20141220T103458,caom:JCMT/scuba2_00030_20141220T103458/raw-850um
IRC+10216,146.9995845558,13.2919996771,JCMTCAL,56729.4351389,24,SCUBA-2,SCUBA-2-850um,147,pointing,science,raw-850um,scuba2_00024_20140313T102301,caom:JCMT/scuba2_00024_20140313T102301/raw-850um
IRC+10216,146.9998699719,13.2918607783,JCMTCAL,56699.4950463,40,SCUBA-2,SCUBA-2-850um,188,pointing,science,raw-850um,scuba2_00040_20140211T115005,caom:JCMT/scuba2_00040_20140211T115005/raw-850um
IRC+10216,146.9924489333,13.2857499265,JCMTCAL,57017.5376505,25,SCUBA-2,SCUBA-2-850um,188,pointing,science,raw-850um,scuba2_00025_20141226T125110,caom:JCMT/scuba2_00025_20141226T125110/raw-850um
IRC+10216,146.9980147472,13.2922775124,JCMTCAL,56717.5281829,40,SCUBA-2,SCUBA-2-850um,186,pointing,science,raw-850um,scuba2_00040_20140301T124008,caom:JCMT/scuba2_00040_20140301T124008/raw-850um
IRC+10216,146.9997272608,13.2918607837,JCMTCAL,56786.2786111,31,SCUBA-2,SCUBA-2-850um,108,pointing,science,raw-850um,scuba2_00031_20140509T064106,caom:JCMT/scuba2_00031_20140509T064106/raw-850um
IRC+10216,146.9997272668,13.2919996716,JCMTCAL,56999.6896875,55,SCUBA-2,SCUBA-2-850um,192,pointing,science,raw-850um,scuba2_00055_20141208T163127,caom:JCMT/scuba2_00055_20141208T163127/raw-850um
IRC+10216,146.9978721099,13.2942219524,JCMTCAL,56988.7813542,69,SCUBA-2,SCUBA-2-850um,105,pointing,science,raw-850um,scuba2_00069_20141127T184222,caom:JCMT/scuba2_00069_20141127T184222/raw-850um
IRC+10216,146.9928770979,13.287972146,JCMTCAL,56982.7839699,66,SCUBA-2,SCUBA-2-850um,145,pointing,science,raw-850um,scuba2_00066_20141121T184547,caom:JCMT/scuba2_00066_20141121T184547/raw-850um
IRC+10216,146.993162443,13.2838054932,JCMTCAL,56764.1972569,20,SCUBA-2,SCUBA-2-850um,106,pointing,science,raw-850um,scuba2_00020_20140417T044357,caom:JCMT/scuba2_00020_20140417T044357/raw-850um
IRC+10216,146.9983001634,13.2921386136,JCMTCAL,56989.7711458,68,SCUBA-2,SCUBA-2-850um,106,pointing,science,raw-850um,scuba2_00068_20141128T182739,caom:JCMT/scuba2_00068_20141128T182739/raw-850um
IRC+10216,146.9987282959,13.2921385976,JCMTCAL,56762.3794444,29,SCUBA-2,SCUBA-2-850um,106,pointing,science,raw-850um,scuba2_00029_20140415T090555,caom:JCMT/scuba2_00029_20140415T090555/raw-850um
IRC+10216,146.9927343888,13.2879721483,JCMTCAL,56990.7676042,68,SCUBA-2,SCUBA-2-850um,84,pointing,science,raw-850um,scuba2_00068_20141129T182509,caom:JCMT/scuba2_00068_20141129T182509/raw-850um
IRC+10216,146.9997272608,13.2918607837,JCMTCAL,56998.6664352,66,SCUBA-2,SCUBA-2-850um,190,pointing,science,raw-850um,scuba2_00066_20141207T155740,caom:JCMT/scuba2_00066_20141207T155740/raw-850um
IRC+10216,146.9978720368,13.2922775178,JCMTCAL,56762.4092824,34,SCUBA-2,SCUBA-2-850um,107,pointing,science,raw-850um,scuba2_00034_20140415T094856,caom:JCMT/scuba2_00034_20140415T094856/raw-850um
IRC+10216,146.998442874,13.2921386084,JCMTCAL,56827.2126852,9,SCUBA-2,SCUBA-2-850um,64,pointing,science,raw-850um,scuba2_00009_20140619T050434,caom:JCMT/scuba2_00009_20140619T050434/raw-850um
IRC+10216,146.9954456988,13.2825554472,JCMTCAL,56959.5716204,47,SCUBA-2,SCUBA-2-850um,147,pointing,science,raw-850um,scuba2_00047_20141029T134024,caom:JCMT/scuba2_00047_20141029T134024/raw-850um
IRC+10216,146.9941613688,13.2832499175,JCMTCAL,56717.2791551,14,SCUBA-2,SCUBA-2-850um,190,pointing,science,raw-850um,scuba2_00014_20140301T063951,caom:JCMT/scuba2_00014_20140301T063951/raw-850um
IRC+10216,146.9977293208,13.2921386351,JCMTCAL,56981.8074074,86,SCUBA-2,SCUBA-2-850um,254,pointing,science,raw-850um,scuba2_00086_20141120T192234,caom:JCMT/scuba2_00086_20141120T192234/raw-850um
IRC+10216,146.9992991335,13.2919996881,JCMTCAL,56691.5535301,23,SCUBA-2,SCUBA-2-850um,146,pointing,science,raw-850um,scuba2_00023_20140203T131658,caom:JCMT/scuba2_00023_20140203T131658/raw-850um
IRC+10216,147.0000127683,13.2938051992,JCMTCAL,56985.7130324,62,SCUBA-2,SCUBA-2-850um,105,pointing,science,raw-850um,scuba2_00062_20141124T170639,caom:JCMT/scuba2_00062_20141124T170639/raw-850um
IRC+10216,146.993447966,13.2897776842,JCMTCAL,56985.7558449,67,SCUBA-2,SCUBA-2-850um,83,pointing,science,raw-850um,scuba2_00067_20141124T180519,caom:JCMT/scuba2_00067_20141124T180519/raw-850um
IRC+10216,146.9943041811,13.2876943458,JCMTCAL,56954.7925926,77,SCUBA-2,SCUBA-2-850um,82,pointing,science,raw-850um,scuba2_00077_20141024T185913,caom:JCMT/scuba2_00077_20141024T185913/raw-850um
