Preview,Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
caom:JCMT/scuba2_00030_20130927T094900,oCeti,34.83958724,-2.973527805,JCMTCAL,56562.40949,30,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00030_20130927T094900,caom:JCMT/scuba2_00030_20130927T094900/raw-450um
caom:JCMT/scuba2_00045_20130927T131258,oCeti,34.83485872,-2.951444665,JCMTCAL,56562.55124,45,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00045_20130927T131258,caom:JCMT/scuba2_00045_20130927T131258/raw-450um
caom:JCMT/scuba2_00013_20130215T041007,oCeti,34.842925,-2.964916742,JCMTCAL,56338.17375,13,SCUBA-2,SCUBA-2-450um,342,pointing,science,raw-450um,scuba2_00013_20130215T041007,caom:JCMT/scuba2_00013_20130215T041007/raw-450um
caom:JCMT/scuba2_00051_20130902T151503,oCeti,34.84750889,-2.964777854,JCMTCAL,56537.63565,51,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,scuba2_00051_20130902T151503,caom:JCMT/scuba2_00051_20130902T151503/raw-450um
caom:JCMT/scuba2_00016_20130123T045633,oCeti,34.83388521,-2.952139084,JCMTCAL,56315.20613,16,SCUBA-2,SCUBA-2-450um,255,pointing,science,raw-450um,scuba2_00016_20130123T045633,caom:JCMT/scuba2_00016_20130123T045633/raw-450um
caom:JCMT/scuba2_00043_20130918T121113,oCeti,34.83638292,-2.975750008,JCMTCAL,56553.50794,43,SCUBA-2,SCUBA-2-450um,187,pointing,science,raw-450um,scuba2_00043_20130918T121113,caom:JCMT/scuba2_00043_20130918T121113/raw-450um
caom:JCMT/scuba2_00020_20130124T064612,oCeti,34.84348129,-2.96450008,JCMTCAL,56316.28223,20,SCUBA-2,SCUBA-2-450um,254,pointing,science,raw-450um,scuba2_00020_20130124T064612,caom:JCMT/scuba2_00020_20130124T064612/raw-450um
caom:JCMT/scuba2_00019_20130121T061829,oCeti,34.84334222,-2.964638968,JCMTCAL,56313.26303,19,SCUBA-2,SCUBA-2-450um,301,pointing,science,raw-450um,scuba2_00019_20130121T061829,caom:JCMT/scuba2_00019_20130121T061829/raw-450um
caom:JCMT/scuba2_00022_20130125T070522,oCeti,34.84278592,-2.962555638,JCMTCAL,56317.29556,22,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00022_20130125T070522,caom:JCMT/scuba2_00022_20130125T070522/raw-450um
caom:JCMT/scuba2_00015_20130128T045426,oCeti,34.83444151,-2.951583541,JCMTCAL,56320.20505,15,SCUBA-2,SCUBA-2-450um,250,pointing,science,raw-450um,scuba2_00015_20130128T045426,caom:JCMT/scuba2_00015_20130128T045426/raw-450um
