Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Quality,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.9930197345,13.2836666076,JCMTCAL,,57046.4211111,27,SCUBA-2,SCUBA-2-450um,145,pointing,science,raw-450um,scuba2_00027_20150124T100555,caom:JCMT/scuba2_00027_20150124T100555/raw-450um
IRC+10216,146.9997272609,13.2918607842,JCMTCAL,,57037.5873727,51,SCUBA-2,SCUBA-2-450um,108,pointing,science,raw-450um,scuba2_00051_20150115T140511,caom:JCMT/scuba2_00051_20150115T140511/raw-450um
IRC+10216,146.9955886788,13.2931108781,JCMTCAL,,57047.4846296,35,SCUBA-2,SCUBA-2-450um,186,pointing,science,raw-450um,scuba2_00035_20150125T113633,caom:JCMT/scuba2_00035_20150125T113633/raw-450um
IRC+10216,146.9930197407,13.2840832704,JCMTCAL,,57030.4585764,34,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00034_20150108T105953,caom:JCMT/scuba2_00034_20150108T105953/raw-450um
IRC+10216,146.9933051442,13.2836665997,JCMTCAL,,57042.4130324,31,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00031_20150120T095419,caom:JCMT/scuba2_00031_20150120T095419/raw-450um
IRC+10216,146.9953029936,13.2825554509,JCMTCAL,,57042.3466667,26,SCUBA-2,SCUBA-2-450um,188,pointing,science,raw-450um,scuba2_00026_20150120T081526,caom:JCMT/scuba2_00026_20150120T081526/raw-450um
IRC+10216,146.9927343313,13.2843610507,JCMTCAL,,57039.4582407,35,SCUBA-2,SCUBA-2-450um,191,pointing,science,raw-450um,scuba2_00035_20150117T105923,caom:JCMT/scuba2_00035_20150117T105923/raw-450um
IRC+10216,147.0070056671,13.2938048329,JCMTCAL,,57036.5228935,48,SCUBA-2,SCUBA-2-450um,195,pointing,science,raw-450um,scuba2_00048_20150114T123233,caom:JCMT/scuba2_00048_20150114T123233/raw-450um
IRC+10216,146.9943040714,13.2831110261,JCMTCAL,,57038.3925579,34,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00034_20150116T092317,caom:JCMT/scuba2_00034_20150116T092317/raw-450um
IRC+10216,146.9964449275,13.292138684,JCMTCAL,,57046.6692245,50,SCUBA-2,SCUBA-2-450um,146,pointing,science,raw-450um,scuba2_00050_20150124T160315,caom:JCMT/scuba2_00050_20150124T160315/raw-450um
