Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
oCeti,34.83458053,-2.976944447,JCMTCAL,55828.43319,35,SCUBA-2,SCUBA-2-850um,364,pointing,science,raw-850um,scuba2_00035_20110924T102348,caom:JCMT/scuba2_00035_20110924T102348/raw-850um
oCeti,34.83082557,-2.95902785,JCMTCAL,55826.55125,59,SCUBA-2,SCUBA-2-850um,363,pointing,science,raw-850um,scuba2_00059_20110922T131348,caom:JCMT/scuba2_00059_20110922T131348/raw-850um
oCeti,34.83402422,-2.976527781,JCMTCAL,55764.61558,16,SCUBA-2,SCUBA-2-850um,216,pointing,science,raw-850um,scuba2_00016_20110722T144626,caom:JCMT/scuba2_00016_20110722T144626/raw-850um
oCeti,34.83430241,-2.958750096,JCMTCAL,55851.49873,28,SCUBA-2,SCUBA-2-850um,205,pointing,science,raw-850um,scuba2_00028_20111017T115810,caom:JCMT/scuba2_00028_20111017T115810/raw-850um
oCeti,34.83277254,-2.975694449,JCMTCAL,55845.40346,28,SCUBA-2,SCUBA-2-850um,368,pointing,science,raw-850um,scuba2_00028_20111011T094059,caom:JCMT/scuba2_00028_20111011T094059/raw-850um
oCeti,34.81997758,-2.976388771,JCMTCAL,55779.62777,77,SCUBA-2,SCUBA-2-850um,329,pointing,science,raw-850um,scuba2_00077_20110806T150359,caom:JCMT/scuba2_00077_20110806T150359/raw-850um
oCeti,34.83764019,-2.966944497,JCMTCAL,55851.56326,34,SCUBA-2,SCUBA-2-850um,258,pointing,science,raw-850um,scuba2_00034_20111017T133106,caom:JCMT/scuba2_00034_20111017T133106/raw-850um
oCeti,34.83318982,-2.961722339,JCMTCAL,55911.2917,38,SCUBA-2,SCUBA-2-850um,294,pointing,science,raw-850um,scuba2_00038_20111216T070003,caom:JCMT/scuba2_00038_20111216T070003/raw-850um
oCeti,34.81969943,-2.976249879,JCMTCAL,55845.4498,33,SCUBA-2,SCUBA-2-850um,364,pointing,science,raw-850um,scuba2_00033_20111011T104743,caom:JCMT/scuba2_00033_20111011T104743/raw-850um
oCeti,34.83430241,-2.958611207,JCMTCAL,55815.59655,40,SCUBA-2,SCUBA-2-850um,212,pointing,science,raw-850um,scuba2_00040_20110911T141902,caom:JCMT/scuba2_00040_20110911T141902/raw-850um
