Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.999584633,13.2938052176,JCMTCAL,56338.5105556,67,SCUBA-2,SCUBA-2-450um,218,pointing,science,raw-450um,scuba2_00067_20130215T121438,caom:JCMT/scuba2_00067_20130215T121438/raw-450um
IRC+10216,147.0017532814,13.2922775277,JCMTCAL,56430.3190278,29,SCUBA-2,SCUBA-2-450um,133,pointing,science,raw-450um,scuba2_00029_20130518T073617,caom:JCMT/scuba2_00029_20130518T073617/raw-450um
IRC+10216,147.0038939219,13.2917218967,JCMTCAL,56420.2588773,23,SCUBA-2,SCUBA-2-450um,204,pointing,science,raw-450um,scuba2_00023_20130508T061241,caom:JCMT/scuba2_00023_20130508T061241/raw-450um
IRC+10216,146.9948748892,13.2829721253,JCMTCAL,56352.2602199,15,SCUBA-2,SCUBA-2-450um,166,pointing,science,raw-450um,scuba2_00015_20130301T061210,caom:JCMT/scuba2_00015_20130301T061210/raw-450um
IRC+10216,146.9987283745,13.2940830289,JCMTCAL,56315.5989468,63,SCUBA-2,SCUBA-2-450um,169,pointing,science,raw-450um,scuba2_00063_20130123T142156,caom:JCMT/scuba2_00063_20130123T142156/raw-450um
IRC+10216,146.9997272671,13.2919996721,JCMTCAL,56329.5231597,54,SCUBA-2,SCUBA-2-450um,127,pointing,science,raw-450um,scuba2_00054_20130206T123140,caom:JCMT/scuba2_00054_20130206T123140/raw-450um
IRC+10216,146.9907365886,13.3085274946,JCMTCAL,56352.4136343,31,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00031_20130301T095525,caom:JCMT/scuba2_00031_20130301T095525/raw-450um
IRC+10216,146.9997272551,13.2917218962,JCMTCAL,56387.3414005,28,SCUBA-2,SCUBA-2-450um,270,pointing,science,raw-450um,scuba2_00028_20130405T080922,caom:JCMT/scuba2_00028_20130405T080922/raw-450um
IRC+10216,146.9995845559,13.2919996775,JCMTCAL,56389.3624537,31,SCUBA-2,SCUBA-2-450um,260,pointing,science,raw-450um,scuba2_00031_20130407T084116,caom:JCMT/scuba2_00031_20130407T084116/raw-450um
IRC+10216,147.0082932479,13.3346374713,JCMTCAL,56338.591331,75,SCUBA-2,SCUBA-2-450um,256,pointing,science,raw-450um,scuba2_00075_20130215T141108,caom:JCMT/scuba2_00075_20130215T141108/raw-450um
IRC+10216,146.9981574581,13.2922775075,JCMTCAL,56364.4895486,32,SCUBA-2,SCUBA-2-450um,170,pointing,science,raw-450um,scuba2_00032_20130313T114211,caom:JCMT/scuba2_00032_20130313T114211/raw-450um
IRC+10216,146.9992991341,13.2919996884,JCMTCAL,56327.546412,47,SCUBA-2,SCUBA-2-450um,132,pointing,science,raw-450um,scuba2_00047_20130204T130619,caom:JCMT/scuba2_00047_20130204T130619/raw-450um
IRC+10216,146.9994418448,13.2919996827,JCMTCAL,56332.5310417,49,SCUBA-2,SCUBA-2-450um,171,pointing,science,raw-450um,scuba2_00049_20130209T124430,caom:JCMT/scuba2_00049_20130209T124430/raw-450um
