Source,Wavelength,Obs_ID,UT_Date,MJD,Obs_Time
IRC+10216,850,scuba2_00020_20110420T092854,20110420,55671.3955965,2011-04-20T09:29:39.535
IRC+10216,850,Scuba2_00005_20110420T072716,20110420,55671.3111531,2011-04-20T07:28:03.624
IRC+10216,850,Scuba2_00003_20110422T051319,20110422,55673.2181163,2011-04-22T05:14:05.246
IRC+10216,850,Scuba2_00009_20110422T060049,20110422,55673.251101,2011-04-22T06:01:35.126
IRC+10216,850,Scuba2_00003_20110428T043632,20110428,55679.1927443,2011-04-28T04:37:33.111
IRC+10216,850,Scuba2_00003_20110513T034715,20110513,55694.1584729,2011-05-13T03:48:12.060
IRC+10216,850,scuba2_00010_20110514T062149,20110514,55695.2658022,2011-05-14T06:22:45.306
IRC+10216,850,Scuba2_00005_20110514T055330,20110514,55695.2461882,2011-05-14T05:54:30.657
IRC+10216,850,Scuba2_00003_20110515T052959,20110515,55696.2298424,2011-05-15T05:30:58.387
IRC+10216,850,Scuba2_00008_20110515T055627,20110515,55696.2481699,2011-05-15T05:57:21.881
IRC+10216,850,scuba2_00018_20110519T074913,20110519,55700.326509,2011-05-19T07:50:10.374
IRC+10216,850,Scuba2_00005_20110523T050405,20110523,55704.2118714,2011-05-23T05:05:05.690
IRC+10216,850,scuba2_00012_20110524T054639,20110524,55705.241425,2011-05-24T05:47:39.121
IRC+10216,850,scuba2_00015_20110526T055623,20110526,55707.2482223,2011-05-26T05:57:26.405
IRC+10216,850,scuba2_00045_20111010T153354,20111010,55844.6492125,2011-10-10T15:34:51.960
IRC+10216,850,scuba2_00050_20111226T110003,20111226,55921.4590048,2011-12-26T11:00:58.012
IRC+10216,850,scuba2_00054_20111226T115425,20111226,55921.4967534,2011-12-26T11:55:19.490
IRC+10216,850,scuba2_00058_20111226T124901,20111226,55921.5346855,2011-12-26T12:49:56.826
IRC+10216,850,scuba2_00070_20111226T142047,20111226,55921.598996,2011-12-26T14:22:33.255
IRC+10216,850,scuba2_00074_20111226T151559,20111226,55921.6367339,2011-12-26T15:16:53.807
IRC+10216,850,scuba2_00054_20111228T110440,20111228,55923.462206,2011-12-28T11:05:34.597
IRC+10216,850,scuba2_00057_20111228T115607,20111228,55923.4979343,2011-12-28T11:57:01.526
IRC+10216,850,scuba2_00062_20111228T125840,20111228,55923.5413722,2011-12-28T12:59:34.559
IRC+10216,850,scuba2_00073_20111228T142740,20111228,55923.603176,2011-12-28T14:28:34.403
IRC+10216,850,scuba2_00076_20111228T151951,20111228,55923.6394048,2011-12-28T15:20:44.578
IRC+10216,850,scuba2_00012_20120122T092802,20120122,55948.3951051,2012-01-22T09:28:57.078
IRC+10216,850,scuba2_00015_20120122T100306,20120122,55948.4194571,2012-01-22T10:04:01.096
IRC+10216,850,scuba2_00018_20120122T103541,20120122,55948.4420833,2012-01-22T10:36:36.001
IRC+10216,850,scuba2_00022_20120122T111110,20120122,55948.4667234,2012-01-22T11:12:04.906
IRC+10216,850,scuba2_00038_20120123T112005,20120123,55949.4729165,2012-01-23T11:20:59.990
IRC+10216,850,scuba2_00044_20120123T124627,20120123,55949.5328831,2012-01-23T12:47:21.100
IRC+10216,850,scuba2_00049_20120123T140513,20120123,55949.5875801,2012-01-23T14:06:06.922
IRC+10216,850,scuba2_00054_20120123T150735,20120123,55949.6308992,2012-01-23T15:08:29.695
IRC+10216,850,scuba2_00032_20120124T080916,20120124,55950.3403972,2012-01-24T08:10:10.314
IRC+10216,850,scuba2_00036_20120124T090438,20120124,55950.3788523,2012-01-24T09:05:32.839
IRC+10216,850,scuba2_00039_20120124T095828,20120124,55950.4162376,2012-01-24T09:59:22.924
IRC+10216,850,scuba2_00045_20120124T110430,20120124,55950.4620854,2012-01-24T11:05:24.182
